country,avg_days
United Arab Emirates,247.7083491007487
Qatar,224.66072489420574
Kuwait,221.70624059041342
Oman,205.73647486368816
Saudi Arabia,178.6680726369222
Bahrain,162.85276693801086
Iraq,162.82177085876464
Pakistan,145.85179189046224
Cambodia,145.37767721116543
Yemen,145.3406982421875
Brunei,134.29455070495607
India,122.70406964619954
Thailand,116.84511241366467
Malaysia,110.97717355092367
Bangladesh,110.52594371885061
Indonesia,100.8722323099772
Sri Lanka,96.18797130584717
Australia,94.25854570070902
Iran,90.96902834574381
Philippines,86.42907985051473
Singapore,84.70276107788087
Syria,83.25126636823019
Burma,81.43031119604906
Turkmenistan,78.82990829149882
Jordan,78.46729672253132
Timor-Leste,75.67258895238241
Papua New Guinea,75.44831819534302
Laos,71.6883805791537
Israel,70.16514910956224
Afghanistan,70.08951352437337
Solomon Is,67.52425427039465
Nepal,59.54201022038857
Uzbekistan,58.36445382436116
Nauru,55.05833333333333
Maldives,49.36020633925994
Tajikistan,47.97799264192581
Tuvalu,45.60834185282389
Fiji,44.184853074947995
Samoa,43.217602117856345
Cyprus,42.32488294740518
Palau,41.67366231282552
Azerbaijan,33.90390126158794
"Micronesia, Fed States of",31.353022893269856
Vanuatu,29.25876433054606
China,26.883308982849123
Lebanon,23.926664225260417
Turkey,23.106452826658884
Kazakhstan,22.900350815057756
Kyrgyzstan,21.655770990252496
Kiribati,19.930653743942578
Marshall Is,18.57434559861819
"Korea, South",14.29425370891889
Bhutan,14.16539644896984
Georgia,12.691898317138355
Japan,10.924936886628469
Armenia,8.743342614173889
Mongolia,7.998007832964261
Tonga,7.384590403238932
"Korea, North",7.128072755038739
New Zealand,0.49600597023963927
